year;dpto;nom_dpto;nom_ciu;sexo;inf;inf_b
2010;5;Antioquia;Medellin;hombre;0.53505504;0.53397077
2010;5;Antioquia;Medellin;mujer;0.58024114;0.57893384
2010;8;Atlantico;Barranquilla;hombre;0.6228689;0.62280041
2010;8;Atlantico;Barranquilla;mujer;0.63277292;0.63234645
2010;11;Bogota;Bogota;hombre;0.42929897;0.42894199
2010;11;Bogota;Bogota;mujer;0.48640007;0.48526037
2010;13;Bolivar;Cartagena;hombre;0.74969608;0.74964041
2010;13;Bolivar;Cartagena;mujer;0.70061952;0.69951665
2010;15;Boyaca;Tunja;hombre;0.74109197;0.740825
2010;15;Boyaca;Tunja;mujer;0.76481229;0.76383466
2010;17;Caldas;Manizales;hombre;0.62540424;0.62540424
2010;17;Caldas;Manizales;mujer;0.60792834;0.60775113
2010;18;Caqueta;Florencia;hombre;0.86944842;0.86944842
2010;18;Caqueta;Florencia;mujer;0.80130482;0.80091774
2010;19;Cauca;Popayan;hombre;0.78446662;0.78420681
2010;19;Cauca;Popayan;mujer;0.74594837;0.74558949
2010;20;Cesar;Valledupar;hombre;0.72672522;0.72622263
2010;20;Cesar;Valledupar;mujer;0.74968672;0.74886537
2010;23;Cordoba;Monteria;hombre;0.80426145;0.80352038
2010;23;Cordoba;Monteria;mujer;0.80749798;0.80655724
2010;25;Cundinamarca;Cundinamarca;hombre;0.60925502;0.60539323
2010;25;Cundinamarca;Cundinamarca;mujer;0.65104824;0.6489234
2010;27;Choco;Quibdo;hombre;0.81800967;0.81795263
2010;27;Choco;Quibdo;mujer;0.71221185;0.71093434
2010;41;Huila;Neiva;hombre;0.80470407;0.80458117
2010;41;Huila;Neiva;mujer;0.75295132;0.75061911
2010;44;La Guajira;Riohacha;hombre;0.79475659;0.79327923
2010;44;La Guajira;Riohacha;mujer;0.77974576;0.77878529
2010;47;Magdalena;Santa Marta;hombre;0.76320696;0.76268333
2010;47;Magdalena;Santa Marta;mujer;0.74895823;0.74717468
2010;50;Meta;Villavicencio;hombre;0.67597556;0.67570853
2010;50;Meta;Villavicencio;mujer;0.73464149;0.73140496
2010;52;Nariño;Pasto;hombre;0.84029144;0.83989912
2010;52;Nariño;Pasto;mujer;0.76202655;0.76157057
2010;54;Norte de Santander;Cucuta;hombre;0.75786823;0.75555485
2010;54;Norte de Santander;Cucuta;mujer;0.71059358;0.70826501
2010;63;Quindio;Armenia;hombre;0.68432528;0.68416917
2010;63;Quindio;Armenia;mujer;0.73577529;0.7351774
2010;66;Risaralda;Pereira;hombre;0.58180535;0.5799284
2010;66;Risaralda;Pereira;mujer;0.65207118;0.65108979
2010;68;Santander;Bucaramanga;hombre;0.68036062;0.67888856
2010;68;Santander;Bucaramanga;mujer;0.69011015;0.68659312
2010;70;Sucre;Sincelejo;hombre;0.84403831;0.84394675
2010;70;Sucre;Sincelejo;mujer;0.78073186;0.77919674
2010;73;Tolima;Ibague;hombre;0.70478088;0.70252305
2010;73;Tolima;Ibague;mujer;0.72930318;0.72425938
2010;76;Valle del Cauca;Cali;hombre;0.53153545;0.52963042
2010;76;Valle del Cauca;Cali;mujer;0.64715272;0.64300793
2011;5;Antioquia;Medellin;hombre;0.53426403;0.53116393
2011;5;Antioquia;Medellin;mujer;0.56746805;0.56403369
2011;8;Atlantico;Barranquilla;hombre;0.63523251;0.63439649
2011;8;Atlantico;Barranquilla;mujer;0.64149898;0.64103532
2011;11;Bogota;Bogota;hombre;0.42429301;0.42323747
2011;11;Bogota;Bogota;mujer;0.49450758;0.49285725
2011;13;Bolivar;Cartagena;hombre;0.73799247;0.73751128
2011;13;Bolivar;Cartagena;mujer;0.72058713;0.71907061
2011;15;Boyaca;Tunja;hombre;0.70791864;0.70791864
2011;15;Boyaca;Tunja;mujer;0.75372809;0.75174963
2011;17;Caldas;Manizales;hombre;0.56499696;0.5631234
2011;17;Caldas;Manizales;mujer;0.56790286;0.56698859
2011;18;Caqueta;Florencia;hombre;0.86954206;0.86945993
2011;18;Caqueta;Florencia;mujer;0.7701478;0.7701478
2011;19;Cauca;Popayan;hombre;0.77707893;0.77683258
2011;19;Cauca;Popayan;mujer;0.74933094;0.74309951
2011;20;Cesar;Valledupar;hombre;0.75907087;0.75855505
2011;20;Cesar;Valledupar;mujer;0.73402226;0.73222888
2011;23;Cordoba;Monteria;hombre;0.80908459;0.80805182
2011;23;Cordoba;Monteria;mujer;0.78910333;0.7872631
2011;25;Cundinamarca;Cundinamarca;hombre;0.60152513;0.5994736
2011;25;Cundinamarca;Cundinamarca;mujer;0.63610125;0.63251674
2011;27;Choco;Quibdo;hombre;0.82242036;0.82217139
2011;27;Choco;Quibdo;mujer;0.77163059;0.77011061
2011;41;Huila;Neiva;hombre;0.7949878;0.79371965
2011;41;Huila;Neiva;mujer;0.76918977;0.76253366
2011;44;La Guajira;Riohacha;hombre;0.76958174;0.76946831
2011;44;La Guajira;Riohacha;mujer;0.75253022;0.75249517
2011;47;Magdalena;Santa Marta;hombre;0.73635238;0.73531234
2011;47;Magdalena;Santa Marta;mujer;0.73708361;0.73548943
2011;50;Meta;Villavicencio;hombre;0.7042585;0.70279729
2011;50;Meta;Villavicencio;mujer;0.71625173;0.71551651
2011;52;Nariño;Pasto;hombre;0.82387024;0.82331562
2011;52;Nariño;Pasto;mujer;0.78926593;0.78682894
2011;54;Norte de Santander;Cucuta;hombre;0.77333999;0.7703808
2011;54;Norte de Santander;Cucuta;mujer;0.73430735;0.73073447
2011;63;Quindio;Armenia;hombre;0.69298023;0.69269574
2011;63;Quindio;Armenia;mujer;0.74331355;0.74252152
2011;66;Risaralda;Pereira;hombre;0.58499801;0.58371818
2011;66;Risaralda;Pereira;mujer;0.62772292;0.62677771
2011;68;Santander;Bucaramanga;hombre;0.68491286;0.6825462
2011;68;Santander;Bucaramanga;mujer;0.69822979;0.6923036
2011;70;Sucre;Sincelejo;hombre;0.84094584;0.84073627
2011;70;Sucre;Sincelejo;mujer;0.77519864;0.77015495
2011;73;Tolima;Ibague;hombre;0.70432526;0.70265245
2011;73;Tolima;Ibague;mujer;0.72300643;0.71633035
2011;76;Valle del Cauca;Cali;hombre;0.53335166;0.53149682
2011;76;Valle del Cauca;Cali;mujer;0.62957597;0.62743336
2012;5;Antioquia;Medellin;hombre;0.53815061;0.53559864
2012;5;Antioquia;Medellin;mujer;0.58005649;0.57896703
2012;8;Atlantico;Barranquilla;hombre;0.61363935;0.61301166
2012;8;Atlantico;Barranquilla;mujer;0.62936795;0.62873363
2012;11;Bogota;Bogota;hombre;0.42574841;0.42462704
2012;11;Bogota;Bogota;mujer;0.50806415;0.505714
2012;13;Bolivar;Cartagena;hombre;0.71430558;0.71430558
2012;13;Bolivar;Cartagena;mujer;0.71696854;0.71478105
2012;15;Boyaca;Tunja;hombre;0.69189966;0.69188106
2012;15;Boyaca;Tunja;mujer;0.73867702;0.73746109
2012;17;Caldas;Manizales;hombre;0.56244177;0.56071109
2012;17;Caldas;Manizales;mujer;0.56808871;0.56793052
2012;18;Caqueta;Florencia;hombre;0.84959054;0.84959054
2012;18;Caqueta;Florencia;mujer;0.78967756;0.787166
2012;19;Cauca;Popayan;hombre;0.76844257;0.76832157
2012;19;Cauca;Popayan;mujer;0.75174665;0.75100482
2012;20;Cesar;Valledupar;hombre;0.70986927;0.70832729
2012;20;Cesar;Valledupar;mujer;0.70768279;0.70639896
2012;23;Cordoba;Monteria;hombre;0.77901781;0.77694303
2012;23;Cordoba;Monteria;mujer;0.79327947;0.79111469
2012;25;Cundinamarca;Cundinamarca;hombre;0.58854395;0.58648849
2012;25;Cundinamarca;Cundinamarca;mujer;0.63098216;0.6271354
2012;27;Choco;Quibdo;hombre;0.79048878;0.78974617
2012;27;Choco;Quibdo;mujer;0.73596042;0.73568374
2012;41;Huila;Neiva;hombre;0.78570771;0.78405559
2012;41;Huila;Neiva;mujer;0.77951181;0.77346498
2012;44;La Guajira;Riohacha;hombre;0.77646655;0.77501941
2012;44;La Guajira;Riohacha;mujer;0.77300471;0.77173054
2012;47;Magdalena;Santa Marta;hombre;0.73466003;0.73456734
2012;47;Magdalena;Santa Marta;mujer;0.74017113;0.73623669
2012;50;Meta;Villavicencio;hombre;0.65526789;0.65354526
2012;50;Meta;Villavicencio;mujer;0.69783717;0.69506973
2012;52;Nariño;Pasto;hombre;0.81633085;0.81552696
2012;52;Nariño;Pasto;mujer;0.78574526;0.78211021
2012;54;Norte de Santander;Cucuta;hombre;0.78201193;0.78060621
2012;54;Norte de Santander;Cucuta;mujer;0.7490803;0.74726903
2012;63;Quindio;Armenia;hombre;0.67209995;0.67170811
2012;63;Quindio;Armenia;mujer;0.73511839;0.73445916
2012;66;Risaralda;Pereira;hombre;0.57979661;0.57950568
2012;66;Risaralda;Pereira;mujer;0.63039255;0.63000149
2012;68;Santander;Bucaramanga;hombre;0.6725319;0.67024577
2012;68;Santander;Bucaramanga;mujer;0.69027239;0.68567574
2012;70;Sucre;Sincelejo;hombre;0.83450216;0.83275878
2012;70;Sucre;Sincelejo;mujer;0.81512916;0.80707985
2012;73;Tolima;Ibague;hombre;0.69187021;0.69146824
2012;73;Tolima;Ibague;mujer;0.76602852;0.76181793
2012;76;Valle del Cauca;Cali;hombre;0.52108896;0.52017879
2012;76;Valle del Cauca;Cali;mujer;0.63961673;0.63725352
2013;5;Antioquia;Medellin;hombre;0.52928263;0.52690816
2013;5;Antioquia;Medellin;mujer;0.57101023;0.56978905
2013;8;Atlantico;Barranquilla;hombre;0.58524388;0.5848127
2013;8;Atlantico;Barranquilla;mujer;0.60610682;0.60523432
2013;11;Bogota;Bogota;hombre;0.41458434;0.41278335
2013;11;Bogota;Bogota;mujer;0.47049746;0.46764106
2013;13;Bolivar;Cartagena;hombre;0.7131387;0.71200019
2013;13;Bolivar;Cartagena;mujer;0.68913954;0.68792045
2013;15;Boyaca;Tunja;hombre;0.68275142;0.68272388
2013;15;Boyaca;Tunja;mujer;0.6973443;0.69551992
2013;17;Caldas;Manizales;hombre;0.59453183;0.5940361
2013;17;Caldas;Manizales;mujer;0.55073607;0.55022311
2013;18;Caqueta;Florencia;hombre;0.85342252;0.85338724
2013;18;Caqueta;Florencia;mujer;0.77251983;0.77228558
2013;19;Cauca;Popayan;hombre;0.76023799;0.76023799
2013;19;Cauca;Popayan;mujer;0.7317012;0.72789598
2013;20;Cesar;Valledupar;hombre;0.70881003;0.70684129
2013;20;Cesar;Valledupar;mujer;0.69820672;0.69748533
2013;23;Cordoba;Monteria;hombre;0.7974773;0.79735929
2013;23;Cordoba;Monteria;mujer;0.77596116;0.77471876
2013;25;Cundinamarca;Cundinamarca;hombre;0.59512049;0.59471053
2013;25;Cundinamarca;Cundinamarca;mujer;0.64067185;0.63421375
2013;27;Choco;Quibdo;hombre;0.78093117;0.77959508
2013;27;Choco;Quibdo;mujer;0.71306068;0.71277571
2013;41;Huila;Neiva;hombre;0.76644903;0.76361662
2013;41;Huila;Neiva;mujer;0.76664114;0.76145089
2013;44;La Guajira;Riohacha;hombre;0.76033008;0.75916541
2013;44;La Guajira;Riohacha;mujer;0.76473439;0.76380813
2013;47;Magdalena;Santa Marta;hombre;0.71898741;0.71827734
2013;47;Magdalena;Santa Marta;mujer;0.72287947;0.72073776
2013;50;Meta;Villavicencio;hombre;0.64516336;0.64481133
2013;50;Meta;Villavicencio;mujer;0.67178684;0.66881841
2013;52;Nariño;Pasto;hombre;0.80380803;0.80324125
2013;52;Nariño;Pasto;mujer;0.76803899;0.76611251
2013;54;Norte de Santander;Cucuta;hombre;0.78589582;0.78533822
2013;54;Norte de Santander;Cucuta;mujer;0.74146187;0.74025452
2013;63;Quindio;Armenia;hombre;0.67620677;0.67517865
2013;63;Quindio;Armenia;mujer;0.72291481;0.72152615
2013;66;Risaralda;Pereira;hombre;0.56177032;0.56109613
2013;66;Risaralda;Pereira;mujer;0.61939132;0.61904395
2013;68;Santander;Bucaramanga;hombre;0.67007709;0.66817081
2013;68;Santander;Bucaramanga;mujer;0.69810259;0.69496095
2013;70;Sucre;Sincelejo;hombre;0.82543701;0.82473588
2013;70;Sucre;Sincelejo;mujer;0.76727259;0.76020181
2013;73;Tolima;Ibague;hombre;0.6689775;0.66854554
2013;73;Tolima;Ibague;mujer;0.73649263;0.73548907
2013;76;Valle del Cauca;Cali;hombre;0.51235372;0.50972492
2013;76;Valle del Cauca;Cali;mujer;0.63201106;0.62449229
2014;5;Antioquia;Medellin;hombre;0.50362891;0.50277746
2014;5;Antioquia;Medellin;mujer;0.55136997;0.55028421
2014;8;Atlantico;Barranquilla;hombre;0.57673079;0.57673079
2014;8;Atlantico;Barranquilla;mujer;0.60468364;0.60294777
2014;11;Bogota;Bogota;hombre;0.40850756;0.40799403
2014;11;Bogota;Bogota;mujer;0.4714168;0.46947828
2014;13;Bolivar;Cartagena;hombre;0.70195568;0.70079315
2014;13;Bolivar;Cartagena;mujer;0.68659323;0.6843943
2014;15;Boyaca;Tunja;hombre;0.68408358;0.68359786
2014;15;Boyaca;Tunja;mujer;0.69516987;0.692514
2014;17;Caldas;Manizales;hombre;0.55728358;0.55704981
2014;17;Caldas;Manizales;mujer;0.55759585;0.5575282
2014;18;Caqueta;Florencia;hombre;0.82486242;0.82477683
2014;18;Caqueta;Florencia;mujer;0.75725943;0.75646979
2014;19;Cauca;Popayan;hombre;0.75140876;0.75139201
2014;19;Cauca;Popayan;mujer;0.70860749;0.70825315
2014;20;Cesar;Valledupar;hombre;0.72064358;0.72009039
2014;20;Cesar;Valledupar;mujer;0.67305011;0.67238659
2014;23;Cordoba;Monteria;hombre;0.82547748;0.8237921
2014;23;Cordoba;Monteria;mujer;0.74991828;0.74931848
2014;25;Cundinamarca;Cundinamarca;hombre;0.57379073;0.56980103
2014;25;Cundinamarca;Cundinamarca;mujer;0.63650614;0.63158643
2014;27;Choco;Quibdo;hombre;0.76878953;0.76872134
2014;27;Choco;Quibdo;mujer;0.62673748;0.62670517
2014;41;Huila;Neiva;hombre;0.75672847;0.75622582
2014;41;Huila;Neiva;mujer;0.71715569;0.71225983
2014;44;La Guajira;Riohacha;hombre;0.75983679;0.75934541
2014;44;La Guajira;Riohacha;mujer;0.75079542;0.74995607
2014;47;Magdalena;Santa Marta;hombre;0.72673416;0.72673416
2014;47;Magdalena;Santa Marta;mujer;0.71580738;0.71057951
2014;50;Meta;Villavicencio;hombre;0.62809974;0.62768728
2014;50;Meta;Villavicencio;mujer;0.65996206;0.65806663
2014;52;Nariño;Pasto;hombre;0.8014701;0.80015194
2014;52;Nariño;Pasto;mujer;0.76332229;0.75925261
2014;54;Norte de Santander;Cucuta;hombre;0.77449006;0.77391386
2014;54;Norte de Santander;Cucuta;mujer;0.71814823;0.71706325
2014;63;Quindio;Armenia;hombre;0.66392803;0.66272855
2014;63;Quindio;Armenia;mujer;0.72959751;0.72942257
2014;66;Risaralda;Pereira;hombre;0.55056012;0.54961443
2014;66;Risaralda;Pereira;mujer;0.60237324;0.60169232
2014;68;Santander;Bucaramanga;hombre;0.63342488;0.62954354
2014;68;Santander;Bucaramanga;mujer;0.68205482;0.67628878
2014;70;Sucre;Sincelejo;hombre;0.809228;0.80763
2014;70;Sucre;Sincelejo;mujer;0.76176047;0.75412643
2014;73;Tolima;Ibague;hombre;0.65750766;0.65670335
2014;73;Tolima;Ibague;mujer;0.71220672;0.70836318
2014;76;Valle del Cauca;Cali;hombre;0.50224513;0.5003978
